Surah,Ayah,Rule,FoundInOriginal,FoundInClean
2,7,"المد العارض للسكون","","عَظِيمٌ"
2,10,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,10,"مد العوض","","ضًا"
2,18,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,19,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,19,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,19,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
2,20,"المد العارض للسكون","","قَدِيرٌ"
2,22,"إخفاء النون الساكنة والتنوين","","ً ف"
2,22,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,25,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,25,"مد العوض","","قًا"
2,25,"مد العوض","","هًا"
2,26,"إخفاء النون الساكنة والتنوين","","ً ف"
2,26,"مد العوض","","لًا"
2,26,"مد العوض","","رًا"
2,29,"المد العارض للسكون","","عَلِيمٌ"
2,30,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,36,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,36,"المد العارض للسكون","","عَدُوٌّ ۖ"
2,38,"مد العوض","","عًا"
2,41,"إقلاب النون الساكنة والتنوين","","ٍ ب"
2,48,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,48,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,49,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,49,"المد العارض للسكون","","عَظِيمٌ"
2,51,"إخفاء النون الساكنة والتنوين","","ً ث"
2,54,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,55,"إخفاء النون الساكنة والتنوين","","ً ف"
2,58,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ن"
2,60,"مد العوض","","نًا"
2,66,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
2,67,"مد العوض","","وًا"
2,68,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,68,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,69,"إخفاء النون الساكنة والتنوين","","ٌ ص"
2,69,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,71,"إخفاء النون الساكنة والتنوين","","ٌ ت"
2,71,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
