Surah,Ayah,WordWithSmallMeem
2,2,هُدًۭى
2,5,هُدًۭى
2,7,غِشَـٰوَةٌۭ
2,7,عَظِيمٌۭ
2,10,مَّرَضٌۭ
2,10,مَرَضًۭا
2,17,نَارًۭا
2,18,عُمْىٌۭ
2,19,ظُلُمَـٰتٌۭ
2,19,وَرَعْدٌۭ
2,19,وَبَرْقٌۭ
2,20,قَدِيرٌۭ
2,22,فِرَٰشًۭا
2,22,بِنَآءًۭ
2,22,مَآءًۭ
2,22,رِزْقًۭا
2,22,أَندَادًۭا
2,25,رِّزْقًۭا
2,25,مُتَشَـٰبِهًۭا
2,25,أَزْوَٰجٌۭ
2,25,مُّطَهَّرَةٌۭ
2,26,مَثَلًۭا
2,26,بَعُوضَةًۭ
2,26,مَثَلًۭا
2,26,كَثِيرًۭا
2,26,كَثِيرًۭا
2,28,أَمْوَٰتًۭا
2,29,جَمِيعًۭا
2,29,عَلِيمٌۭ
2,30,جَاعِلٌۭ
2,30,خَلِيفَةًۭ
2,36,عَدُوٌّۭ
2,36,مُسْتَقَرٌّۭ
2,38,جَمِيعًۭا
2,38,هُدًۭى
2,41,مُصَدِّقًۭا
2,41,كَافِرٍۭ
2,41,ثَمَنًۭا
2,41,قَلِيلًۭا
2,48,يَوْمًۭا
2,48,شَيْـًۭٔا
2,48,شَفَـٰعَةٌۭ
2,48,عَدْلٌۭ
2,49,بَلَآءٌۭ
2,49,عَظِيمٌۭ
2,51,لَيْلَةًۭ
2,54,خَيْرٌۭ
2,55,جَهْرَةًۭ
2,58,رَغَدًۭا
2,58,سُجَّدًۭا
2,58,حِطَّةٌۭ
2,59,رِجْزًۭا
2,60,عَيْنًۭا
2,61,مِصْرًۭا
2,62,صَـٰلِحًۭا
2,66,نَكَـٰلًۭا
2,66,وَمَوْعِظَةًۭ
2,67,بَقَرَةًۭ
2,67,هُزُوًۭا
2,68,بَقَرَةٌۭ
2,68,فَارِضٌۭ
2,69,بَقَرَةٌۭ
2,69,فَاقِعٌۭ
2,71,بَقَرَةٌۭ
2,71,ذَلُولٌۭ
2,71,مُسَلَّمَةٌۭ
2,72,نَفْسًۭا
2,72,مُخْرِجٌۭ
2,74,قَسْوَةًۭ
2,75,فَرِيقٌۭ
2,79,فَوَيْلٌۭ
2,79,ثَمَنًۭا
2,79,قَلِيلًۭا
2,79,فَوَيْلٌۭ
2,79,وَوَيْلٌۭ
2,80,أَيَّامًۭا
2,80,مَّعْدُودَةًۭ
2,80,عَهْدًۭا
2,81,سَيِّئَةًۭ
2,83,إِحْسَانًۭا
2,83,حُسْنًۭا
2,83,قَلِيلًۭا
2,85,فَرِيقًۭا
2,85,خِزْىٌۭ
2,87,فَفَرِيقًۭا
2,87,وَفَرِيقًۭا
2,88,فَقَلِيلًۭا
2,89,كِتَـٰبٌۭ
2,89,مُصَدِّقٌۭ
2,90,عَذَابٌۭ
2,90,مُّهِينٌۭ
2,91,مُصَدِّقًۭا
2,94,خَالِصَةًۭ
2,97,عَدُوًّۭا
2,97,مُصَدِّقًۭا
2,97,وَهُدًۭى
2,98,عَدُوًّۭا
2,98,عَدُوٌّۭ
2,99,ءَايَـٰتٍۭ
2,100,عَهْدًۭا
2,100,فَرِيقٌۭ
2,101,رَسُولٌۭ
2,101,مُصَدِّقٌۭ
2,101,فَرِيقٌۭ
2,102,فِتْنَةٌۭ
2,103,لَمَثُوبَةٌۭ
2,103,خَيْرٌۭ
2,104,أَلِيمٌۭ
2,109,كَثِيرٌۭ
2,109,حَسَدًۭا
2,109,قَدِيرٌۭ
2,110,بَصِيرٌۭ
2,112,مُحْسِنٌۭ
2,114,خِزْىٌۭ
2,114,عَظِيمٌۭ
2,115,عَلِيمٌۭ
2,116,وَلَدًۭا
2,116,كُلٌّۭ
2,117,أَمْرًۭا
2,118,ءَايَةٌۭ
2,119,بَشِيرًۭا
2,119,وَنَذِيرًۭا
2,123,يَوْمًۭا
2,123,شَيْـًۭٔا
2,123,عَدْلٌۭ
2,123,شَفَـٰعَةٌۭ
2,124,إِمَامًۭا
2,125,مَثَابَةًۭ
2,125,وَأَمْنًۭا
2,125,مُصَلًّۭى
2,126,ءَامِنًۭا
2,126,قَلِيلًۭا
2,128,أُمَّةًۭ
2,128,مُّسْلِمَةًۭ
2,129,رَسُولًۭا
2,133,إِلَـٰهًۭا
2,133,وَٰحِدًۭا
2,134,أُمَّةٌۭ
2,135,حَنِيفًۭا
2,138,صِبْغَةًۭ
2,141,أُمَّةٌۭ
2,143,أُمَّةًۭ
2,143,وَسَطًۭا
2,143,شَهِيدًۭا
2,143,لَرَءُوفٌۭ
2,143,رَّحِيمٌۭ
2,144,قِبْلَةًۭ
2,145,إِذًۭا
2,146,فَرِيقًۭا
2,148,قَدِيرٌۭ
2,151,رَسُولًۭا
2,154,أَحْيَآءٌۭ
2,156,مُّصِيبَةٌۭ
2,157,صَلَوَٰتٌۭ
2,157,وَرَحْمَةٌۭ
2,158,خَيْرًۭا
2,163,إِلَـٰهٌۭ
2,163,وَٰحِدٌۭ
2,165,أَندَادًۭا
2,165,حُبًّۭا
2,165,جَمِيعًۭا
2,167,كَرَّةًۭ
2,168,حَلَـٰلًۭا
2,168,طَيِّبًۭا
2,168,عَدُوٌّۭ
2,170,شَيْـًۭٔا
2,171,دُعَآءًۭ
2,171,وَنِدَآءًۭ
2,171,عُمْىٌۭ
2,173,غَفُورٌۭ
2,174,ثَمَنًۭا
2,176,شِقَاقٍۭ
2,178,شَىْءٌۭ
2,178,تَخْفِيفٌۭ
2,178,وَرَحْمَةٌۭ
2,178,أَلِيمٌۭ
2,179,حَيَوٰةٌۭ
2,181,عَلِيمٌۭ
2,182,إِثْمًۭا
2,182,غَفُورٌۭ
2,182,رَّحِيمٌۭ
2,184,أَيَّامًۭا
2,184,فَعِدَّةٌۭ
2,184,فِدْيَةٌۭ
2,184,خَيْرًۭا
2,184,خَيْرٌۭ
2,184,خَيْرٌۭ
2,185,هُدًۭى
2,185,فَعِدَّةٌۭ
2,187,لِبَاسٌۭ
2,187,لِبَاسٌۭ
2,188,فَرِيقًۭا
2,192,غَفُورٌۭ
2,192,رَّحِيمٌۭ
2,193,فِتْنَةٌۭ
2,194,قِصَاصٌۭ
2,196,أَذًۭى
2,196,فَفِدْيَةٌۭ
2,196,عَشَرَةٌۭ
2,196,كَامِلَةٌۭ
2,197,أَشْهُرٌۭ
2,197,مَّعْلُومَـٰتٌۭ
2,198,فَضْلًۭا
2,199,غَفُورٌۭ
2,199,رَّحِيمٌۭ
2,200,ذِكْرًۭا
2,201,حَسَنَةًۭ
2,201,حَسَنَةًۭ
2,202,نَصِيبٌۭ
2,208,كَآفَّةًۭ
2,208,عَدُوٌّۭ
2,208,مُّبِينٌۭ
2,211,ءَايَةٍۭ
2,213,أُمَّةًۭ
2,213,وَٰحِدَةًۭ
2,214,قَرِيبٌۭ
2,215,عَلِيمٌۭ
2,216,كُرْهٌۭ
2,216,شَيْـًۭٔا
2,216,خَيْرٌۭ
2,216,شَيْـًۭٔا
2,216,شَرٌّۭ
2,217,قِتَالٌۭ
2,217,كَبِيرٌۭ
2,217,كَافِرٌۭ
2,218,غَفُورٌۭ
2,218,رَّحِيمٌۭ
2,219,إِثْمٌۭ
2,219,كَبِيرٌۭ
2,220,إِصْلَاحٌۭ
2,220,خَيْرٌۭ
2,220,حَكِيمٌۭ
2,221,وَلَأَمَةٌۭ
2,221,خَيْرٌۭ
2,221,وَلَعَبْدٌۭ
2,221,خَيْرٌۭ
2,222,أَذًۭى
2,223,حَرْثٌۭ
2,224,عُرْضَةًۭ
2,224,عَلِيمٌۭ
2,225,حَلِيمٌۭ
2,226,غَفُورٌۭ
2,226,رَّحِيمٌۭ
2,227,عَلِيمٌۭ
2,228,إِصْلَـٰحًۭا
2,228,دَرَجَةٌۭ
2,231,ضِرَارًۭا
2,231,هُزُوًۭا
2,231,عَلِيمٌۭ
2,233,مَوْلُودٌۭ
2,233,بَصِيرٌۭ
2,234,أَزْوَٰجًۭا
2,234,وَعَشْرًۭا
2,234,خَبِيرٌۭ
2,235,قَوْلًۭا
2,235,مَّعْرُوفًۭا
2,235,حَلِيمٌۭ
2,236,فَرِيضَةًۭ
2,237,فَرِيضَةًۭ
2,239,رُكْبَانًۭا
2,240,أَزْوَٰجًۭا
2,240,وَصِيَّةًۭ
2,240,حَكِيمٌۭ
2,244,عَلِيمٌۭ
2,245,حَسَنًۭا
2,245,أَضْعَافًۭا
2,245,كَثِيرَةًۭ
2,246,مَلِكًۭا
2,246,قَلِيلًۭا
2,247,مَلِكًۭا
2,247,سَعَةًۭ
2,247,بَسْطَةًۭ
2,247,عَلِيمٌۭ
2,248,سَكِينَةٌۭ
2,248,وَبَقِيَّةٌۭ
2,248,لَـَٔايَةًۭ
2,249,قَلِيلًۭا
2,249,فِئَةًۭ
2,250,صَبْرًۭا
2,254,يَوْمٌۭ
2,254,بَيْعٌۭ
2,254,خُلَّةٌۭ
2,254,شَفَـٰعَةٌۭ
2,255,سِنَةٌۭ
2,255,نَوْمٌۭ
2,259,ءَايَةًۭ
2,259,لَحْمًۭا
2,259,قَدِيرٌۭ
2,260,أَرْبَعَةًۭ
2,260,جُزْءًۭا
2,260,سَعْيًۭا
2,260,حَكِيمٌۭ
2,262,مَنًّۭا
2,262,أَذًۭى
2,263,قَوْلٌۭ
2,263,مَّعْرُوفٌۭ
2,263,خَيْرٌۭ
2,263,أَذًۭى
2,263,حَلِيمٌۭ
2,264,تُرَابٌۭ
2,264,وَابِلٌۭ
2,264,صَلْدًۭا
2,265,وَتَثْبِيتًۭا
2,265,جَنَّةٍۭ
